time,wind_speed,wind_dir,wd_cat
2023-06-13 20:00:00,6,80,E
2023-06-13 21:00:00,7,84,E
2023-06-13 22:00:00,9,79,E
2023-06-13 23:00:00,10,77,E
2023-06-14 00:00:00,10,74,E
2023-06-14 01:00:00,10,70,E
2023-06-14 02:00:00,10,69,E
2023-06-14 03:00:00,8,66,NE
2023-06-14 04:00:00,6,71,E
2023-06-14 05:00:00,5,79,E
2023-06-14 06:00:00,5,81,E
2023-06-14 07:00:00,5,96,E
2023-06-14 08:00:00,5,112,E
2023-06-14 09:00:00,5,114,SE
2023-06-14 10:00:00,6,99,E
2023-06-14 11:00:00,6,104,E
2023-06-14 12:00:00,7,104,E
2023-06-14 13:00:00,8,100,E
2023-06-14 14:00:00,9,100,E
2023-06-14 15:00:00,9,103,E
2023-06-14 16:00:00,10,105,E
2023-06-14 17:00:00,11,103,E
2023-06-14 18:00:00,12,99,E
2023-06-14 19:00:00,12,98,E
2023-06-14 20:00:00,13,97,E
2023-06-14 21:00:00,14,98,E
2023-06-14 22:00:00,15,100,E
2023-06-14 23:00:00,15,101,E
2023-06-15 00:00:00,14,99,E
2023-06-15 01:00:00,15,96,E
2023-06-15 02:00:00,14,94,E
2023-06-15 03:00:00,14,92,E
2023-06-15 04:00:00,13,92,E
2023-06-15 05:00:00,13,93,E
2023-06-15 06:00:00,12,92,E
2023-06-15 07:00:00,12,89,E
2023-06-15 08:00:00,12,85,E
2023-06-15 09:00:00,12,84,E
2023-06-15 10:00:00,13,77,E
2023-06-15 11:00:00,12,72,E
2023-06-15 12:00:00,11,68,E
2023-06-15 13:00:00,10,66,NE
2023-06-15 14:00:00,10,63,NE
2023-06-15 15:00:00,10,60,NE
2023-06-15 16:00:00,10,62,NE
2023-06-15 17:00:00,9,67,NE
2023-06-15 18:00:00,9,73,E
2023-06-15 19:00:00,9,77,E
2023-06-15 20:00:00,10,79,E
2023-06-15 21:00:00,10,78,E
2023-06-15 22:00:00,12,79,E
2023-06-15 23:00:00,10,85,E
2023-06-16 00:00:00,10,94,E
2023-06-16 01:00:00,11,98,E
2023-06-16 02:00:00,12,101,E
2023-06-16 03:00:00,11,101,E
2023-06-16 04:00:00,10,104,E
2023-06-16 05:00:00,9,108,E
2023-06-16 06:00:00,9,109,E
2023-06-16 07:00:00,8,107,E
2023-06-16 08:00:00,8,109,E
